Account,sentiment_class,total_pnl,avg_pnl,win_rate,avg_leverage,avg_trade_size,trade_count,profit_factor
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,9467.021637,5.184568256845564,0.9446878422782037,11.523001095290251,1803.1236527929902,1826,2.061357266397755
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,-961.048507,-240.26212675,0.0,23.75,365.03,4,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,46411.26711,348.95689556390977,1.0,10.24812030075188,503.39744360902256,133,inf
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,-16719.913714000002,-1286.147208769231,0.23076923076923078,11.153846153846153,10917.363076923077,13,0.0030636770935759555
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,44169.810737,428.8331139514563,1.0,15.320388349514563,945.9140776699029,103,inf
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,-53.631353999999995,-26.815676999999997,0.0,30.0,64.53,2,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,622.41079,103.73513166666667,1.0,10.0,910.0616666666666,6,inf
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,20925.513222,199.29060211428572,1.0,10.742857142857142,3164.3796190476187,105,inf
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,8129.3406589999995,189.05443393023253,1.0,13.0,2312.1053488372095,43,inf
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,38168.35486,502.21519552631577,1.0,12.210526315789474,2878.341315789474,76,inf
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,15.24474,15.24474,1.0,3.0,771.87,1,inf
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,14542.702934,70.25460354589373,0.7198067632850241,10.096618357487923,8807.789468599034,207,4.765805873426649
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,43.2005,21.60025,1.0,6.5,4061.225,2,inf
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,7157.683579,357.88417895,1.0,7.15,21795.499499999998,20,inf
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,9544.906134,23.982176216080404,0.5778894472361809,10.615577889447236,1693.0270603015076,398,7.051104320852265
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1105304.859175,1237.743403331467,0.9384098544232923,10.875699888017918,3069.1329451287797,893,141.6976151183281
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,93165.161357,94.20137649848333,0.993933265925177,10.773508594539939,1772.3402123356925,989,9.474078793376428
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,534058.23633,216.74441409496754,0.6530032467532467,8.537743506493506,7388.416866883117,2464,20.237077836095647
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,401309.434693,261.43937113550487,0.8514657980456026,9.926384364820846,3149.814312703583,1535,32.14950504021878
0xb899e522b5715391ae1d4f137653e7906c5e2115,Extreme Fear,-33221.806818,-40.026273274698795,0.6385542168674698,7.067469879518073,19643.67496385542,830,0.4570303139255032
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,51692.358711,31.46217815642118,0.91661594643944,6.943396226415095,20900.45536822885,1643,2.761327471635614
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,4017.948928,23.916362666666664,0.5119047619047619,7.476190476190476,22528.295535714286,168,2.544033485720744
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,261917.977792,154.06939870117645,1.0,9.479411764705882,6066.041582352941,1700,inf
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,620872.375844,98.8178220346968,0.9863122712080217,10.279325163138628,3343.255834792297,6283,18000.05382176862
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,4.672458,1.557486,0.3333333333333333,6.0,61.04333333333333,3,77.90023041474655
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,57368.780126,28.527488874191942,1.0,11.490800596718051,1729.3936399801094,2011,inf
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,37712.523408999994,220.54107256725143,0.5672514619883041,8.865497076023392,10086.804152046783,171,1.440665223520164
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,6053.160569999998,106.19579947368418,0.45614035087719296,6.771929824561403,5079.806666666666,57,1.3212548223899296
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,236797.727737,338.2824681957143,0.8414285714285714,9.655714285714286,8005.582128571429,700,3.5614408095842753
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,30258.203855,302.58203855,0.85,9.28,2553.1474,100,11.107714548913668
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,-90302.553718,-606.0574075033556,0.4563758389261745,6.093959731543624,15897.515838926174,149,0.3468372400750564
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,30774.092128,10.692874262682418,0.7293259207783183,10.771021542738012,1353.5663203613622,2878,1.9369787458450107
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,478811.468185,105.9317407488938,0.8869469026548673,11.304646017699115,1830.9423008849558,4520,18.5408134197636
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,55978.79696,8.696410899487338,0.7546993941276993,11.033711356221842,1492.1430340220602,6437,1.8875692937886763
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,243399.51314,55.01797313291139,0.7707956600361664,10.813969258589513,2177.91734403255,4424,2.993956969209553
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,27116.682664,6.31795961416589,0.6598322460391426,11.134436160298229,1512.6624137931035,4292,1.5793716107801652
